row_1,row_2,row_3,row_4,solution_count
blue hippo;blue camel;blue giraffe;green giraffe,yellow hippo;green lion;yellow camel;red camel,green hippo;yellow lion;yellow giraffe;red hippo,green camel;red giraffe;blue lion;red lion,12
red giraffe;blue camel;green lion;yellow hippo,yellow giraffe;blue hippo;blue giraffe;red camel,green camel;red hippo;blue lion;yellow camel,green hippo;red lion;yellow lion;green giraffe,0
yellow lion;green lion;red hippo;red giraffe,red lion;green hippo;green giraffe;blue giraffe,blue lion;blue camel;blue hippo;yellow hippo,yellow camel;red camel;yellow giraffe;green camel,15
red camel;red lion;green lion;yellow giraffe,blue camel;blue hippo;blue lion;green giraffe,blue giraffe;red hippo;green camel;yellow lion,green hippo;yellow hippo;red giraffe;yellow camel,67
red giraffe;yellow camel;red camel;blue lion,green lion;green hippo;yellow lion;blue hippo,green giraffe;red lion;green camel;red hippo,blue giraffe;yellow hippo;blue camel;yellow giraffe,0
blue lion;blue hippo;red hippo;blue giraffe,green giraffe;green camel;red camel;red lion,yellow hippo;yellow giraffe;green lion;red giraffe,blue camel;yellow lion;green hippo;yellow camel,34
blue lion;green hippo;blue giraffe;yellow giraffe,red giraffe;yellow lion;green lion;blue hippo,green camel;red camel;green giraffe;yellow camel,yellow hippo;blue camel;red lion;red hippo,0
green giraffe;yellow camel;yellow giraffe;green camel,blue giraffe;blue lion;green lion;blue hippo,red giraffe;green hippo;red camel;red hippo,blue camel;red lion;yellow lion;yellow hippo,33
red camel;red lion;yellow hippo;blue camel,yellow lion;blue lion;blue hippo;green camel,red hippo;blue giraffe;green hippo;red giraffe,yellow giraffe;green giraffe;green lion;yellow camel,4
red giraffe;red lion;red camel;yellow hippo,green hippo;blue camel;green giraffe;yellow lion,blue hippo;blue giraffe;green camel;yellow camel,blue lion;yellow giraffe;green lion;red hippo,149
yellow lion;red hippo;red giraffe;blue lion,yellow camel;green lion;blue camel;blue giraffe,yellow giraffe;red camel;green camel;green hippo,blue hippo;red lion;green giraffe;yellow hippo,0
blue giraffe;green lion;yellow giraffe;blue lion,blue hippo;green camel;yellow hippo;red lion,yellow lion;blue camel;green hippo;green giraffe,red hippo;red giraffe;yellow camel;red camel,0
yellow lion;red hippo;green camel;green giraffe,yellow camel;red giraffe;green hippo;red lion,yellow giraffe;green lion;blue giraffe;yellow hippo,blue camel;red camel;blue hippo;blue lion,0
yellow lion;blue giraffe;red camel;yellow camel,blue camel;red hippo;green camel;blue lion,green lion;red lion;yellow giraffe;green hippo,green giraffe;red giraffe;yellow hippo;blue hippo,20
blue camel;yellow camel;blue hippo;red giraffe,green hippo;green giraffe;red hippo;green lion,blue giraffe;yellow giraffe;yellow hippo;blue lion,red camel;green camel;yellow lion;red lion,173
yellow camel;red lion;green giraffe;yellow giraffe,yellow lion;green lion;green hippo;blue hippo,blue camel;blue giraffe;blue lion;red camel,red hippo;green camel;yellow hippo;red giraffe,10
green giraffe;green camel;red camel;blue giraffe,red hippo;blue camel;yellow hippo;red lion,green lion;green hippo;blue lion;yellow camel,yellow giraffe;blue hippo;yellow lion;red giraffe,21
yellow lion;red hippo;red camel;green camel,blue lion;yellow camel;blue camel;green lion,yellow giraffe;yellow hippo;red giraffe;red lion,green hippo;green giraffe;blue hippo;blue giraffe,37
yellow lion;yellow camel;green camel;blue camel,red giraffe;green lion;blue lion;red camel,red lion;yellow hippo;green hippo;yellow giraffe,green giraffe;red hippo;blue hippo;blue giraffe,243
green lion;yellow hippo;yellow camel;blue giraffe,red lion;blue hippo;green giraffe;red camel,yellow lion;green camel;red giraffe;blue lion,blue camel;yellow giraffe;red hippo;green hippo,0
red hippo;red lion;yellow hippo;yellow lion,yellow giraffe;red camel;green hippo;blue camel,blue giraffe;green lion;red giraffe;blue hippo,green giraffe;yellow camel;blue lion;green camel,0
blue giraffe;green camel;blue camel;yellow lion,blue hippo;red lion;green hippo;blue lion,green giraffe;red giraffe;red camel;yellow camel,yellow hippo;yellow giraffe;red hippo;green lion,299
blue giraffe;blue lion;yellow camel;yellow hippo,red giraffe;green giraffe;red hippo;green camel,blue hippo;red lion;yellow lion;blue camel,yellow giraffe;red camel;green hippo;green lion,71
yellow hippo;yellow camel;blue lion;yellow giraffe,green giraffe;green hippo;red camel;blue hippo,blue giraffe;blue camel;red lion;green camel,yellow lion;green lion;red giraffe;red hippo,0
green camel;blue giraffe;blue camel;yellow giraffe,yellow camel;red camel;yellow lion;yellow hippo,green hippo;green lion;red giraffe;blue hippo,red lion;red hippo;green giraffe;blue lion,65
